,sign,freq,city,format,state,geometry
102,K203AF,88.5,"Colstrip, MT",Public Radio,MT,
103,K203AH,88.5,"Cody, WY",Public Radio,WY,
104,K203AI,88.5,"Columbus, MT",Public Radio,MT,
105,K203AP,88.5,"Ambler, AK",Public Radio,AK,
106,K203AS,88.5,"Glendive, MT",Public Radio,MT,
107,K203AT,88.5,"Westcliffe, Etc., CO",Public Radio,CO,
108,K203BE,88.5,"Roseburg, OR",Religious,OR,
109,K203BN,88.5,"Pringle, SD",Public Radio,SD,
110,K203BO,88.5,"Mena, AR",Public Radio,AR,
111,K203BR,88.5,"Winona, MN",Religious,MN,
112,K203BW,88.5,"Holly, CO",Christian Contemporary,CO,
113,K203BY,88.5,"Kuparuk, AK",News/Talk,AK,
114,K203CA,88.5,"Milford, UT",Public Radio,UT,
115,K203CB,88.5,"Lubbock, TX",Christian Contemporary,TX,
116,K203CH,88.5,"Juneau, AK",Religious,AK,
117,K203CQ,88.5,"Tooele, UT",Religious,UT,
118,K203CX,88.5,"San Marcos, TX",Religious,TX,
119,K203DL,88.5,"Cheyenne Wells, CO",Christian Contemporary,CO,
120,K203DP,88.5,"Argenta, NV",Christian Contemporary,NV,
121,K203DY,88.5,"Baker City, OR",Religious,OR,
122,K203EF,88.5,"Mount Vernon, IL",Religious,IL,
123,K203EG,88.5,"Basalt, CO",Public Radio,CO,
124,K203EH,88.5,"Redstone, CO",Public Radio,CO,
125,K203EL,88.5,"Haleiwa, Etc., HI",Public Radio,HI,
126,K203EN,88.5,"Ellensburg, WA",Christian Contemporary,WA,
127,K203EQ,88.5,"Lufkin, TX",Religious,TX,
128,K203ER,88.5,"Clarkston, WA",Christian Contemporary,WA,
129,K203ES,88.5,"Roswell, NM",Religious,NM,
130,K203EU,88.5,"Hutchinson, KS",Religious,KS,
131,K203EY,88.5,"Saint George, UT",Christian Contemporary,UT,
132,K203EZ,88.5,"Alamogordo, NM",Religious,NM,
133,K203FB,88.5,"Hays, KS",Christian Contemporary,KS,
134,K203FE,88.5,"Tahlequah, OK",Religious,OK,
135,K203FI,88.5,"Gleneden Beach, OR",Jazz,OR,
136,K203FJ,88.5,"Parachute, Etc., CO",Public Radio,CO,
137,K203FO,88.5,"Guymon, OK",Religious,OK,
138,K203FP,88.5,"Burns, Etc., OR",Jazz,OR,
139,K203FR,88.5,"Las Vegas, NV",Christian Contemporary,NV,
140,K203FS,88.5,"Port Angeles, WA",Religious,WA,
141,K204AG,88.7,"Camas Valley, OR",Classical,OR,
142,K204AL,88.7,"Pocatello, Etc., ID",Christian Contemporary,ID,
143,K204AS,88.7,"Shungnak, AK",Public Radio,AK,
144,K204AV,88.7,"Lincoln, Etc., OR",Classical,OR,
145,K204BI,88.7,"Bellingham, WA",Public Radio,WA,
146,K204BO,88.7,"Provo, Etc., UT",Public Radio,UT,
147,K204BR,88.7,"Lake City, CO",Public Radio,CO,
148,K204BU,88.7,"Silver City, NM",Christian Contemporary,NM,
149,K204BW,88.7,"Death Valley, Etc., CA",Public Radio,CA,
150,K204CC,88.7,"Challis, Etc., ID",Christian Contemporary,ID,
151,K204CD,88.7,"Tribune, KS",Christian Contemporary,KS,
152,K204CE,88.7,"Clifton, AZ",Religious,AZ,
153,K204CO,88.7,"Panguitch, UT",Public Radio,UT,
154,K204CR,88.7,"McPherson, KS",Religious,KS,
155,K204CZ,88.7,"Kennewick, WA",Christian Contemporary,WA,
156,K204DB,88.7,"Portales, NM",Religious,NM,
157,K204DK,88.7,"Chico, CA",Christian Contemporary,CA,
158,K204DL,88.7,"Natchitoches, LA",Religious,LA,
159,K204DM,88.7,"Yreka, CA",Religious,CA,
160,K204DN,88.7,"Paragould, AR",Religious,AR,
161,K204DO,88.7,"Pine Bluff, AR",Religious,AR,
162,K204DQ,88.7,"Wichita, KS",Religious,KS,
163,K204DT,88.7,"Rogersville, MO",Religious,MO,
164,K204DX,88.7,"San Antonio, TX",Religious,TX,
165,K204DZ,88.7,"Dove Creek, CO",Public Radio,CO,
166,K204EL,88.7,"Warroad, MN",Religious,MN,
167,K204EQ,88.5,"Woodward, OK",Religious,OK,
168,K204ES,88.7,"Brainerd, MN",Religious,MN,
169,K204ET,88.7,"Aberdeen, WA",Religious,WA,
170,K204EU,88.7,"Elko, NV",Christian Contemporary,NV,
171,K204EX,88.7,"Paonia, CO",Christian Contemporary,CO,
172,K204FB,88.7,"Rapid City, SD",Native American,SD,
173,K204FC,88.7,"Sidney, NE",Religious,NE,
174,K204FG,88.7,"Bismarck, ND",Religious,ND,
175,K204FP,88.7,"Childress, TX",Religious,TX,
176,K204FR,88.7,"Lovelock, NV",Religious,NV,
177,K204FX,88.7,"Mountain Grove, MO",Public Radio,MO,
178,K204FY,88.7,"Fairview, OK",Christian Contemporary,OK,
179,K204GA,88.7,"Ferndale, Etc., CA",Public Radio,CA,
180,K204GC,88.7,"Lead, SD",Public Radio,SD,
181,K204GE,88.7,"Fairbanks, AK",Christian Contemporary,AK,
182,K204GG,88.7,"Banning, CA",Christian Contemporary,CA,
183,K204GH,88.7,"Chiloquin, OR",Religious,OR,
184,K204GJ,88.7,"Las Vegas, NM",Religious,NM,
185,K204GL,88.7,"Seeley Lake, MT",Religious,MT,
186,K204GM,88.7,"Hilo, HI",Christian Contemporary,HI,
187,K204GR,88.7,"Livingston, MT",Public Radio,MT,
188,K204GS,88.7,"Borger, TX",Religious,TX,
189,K204GT,88.7,"Estes Park, CO",Christian Contemporary,CO,
