,sign,freq,city,format,state,geometry
5307,KDAL,95.7000000000001,"Duluth, MN",Adult Contemporary,MN,
5308,KDAM,94.30000000000008,"Hartington, NE",Hot AC,NE,
5309,KDAO,92.90000000000006,"Eldora, IA",Adult Contemporary,IA,
5310,KDAP,96.50000000000011,"Douglas, AZ",Country,AZ,
5311,KDAQ,89.90000000000002,"Shreveport, LA",Public Radio,LA,
5312,KDAR,98.30000000000014,"Oxnard, CA",Religious,CA,
5313,KDAT,104.50000000000023,"Cedar Rapids, IA",Adult Contemporary,IA,
5314,KDAY,93.50000000000007,"Redondo Beach, CA",Classic Hip-Hop,CA,
5315,KDB,93.70000000000007,"Santa Barbara, CA",Classical,CA,
5316,KDBB,104.30000000000022,"Bonne Terre, MO",Classic Hits,MO,
5317,KDBH,97.50000000000013,"Natchitoches, LA",Classic Country,LA,
5318,KDBI,106.30000000000025,"Homedale, ID",Regional Mexican,ID,
5319,KDBL,92.90000000000006,"Toppenish, WA",Country,WA,
5320,KDBN,101.10000000000018,"Parachute, CO",Variety,CO,
5321,KDBR,106.30000000000025,"Kalispell, MT",Country,MT,
5322,KDBX,107.10000000000026,"Clear Lake, SD",Classic Rock,SD,
5323,KDCB,89.50000000000001,"Coos Bay, OR",Religious,OR,
5324,KDCD,92.90000000000006,"San Angelo, TX",Country,TX,
5325,KDCI,89.10000000000001,"Delhi, LA",Unknown Format,LA,
5326,KDCJ,91.50000000000004,"Kermit, TX",Religious,TX,
5327,KDCQ,92.90000000000006,"Coos Bay, OR",Classic Hits,OR,
5328,KDCY,89.10000000000001,"Eudora, AR",Unknown Format,AR,
5329,KDCZ,107.70000000000027,"Saint Charles, MN",Classic Rock,MN,
5330,KDDB,102.7000000000002,"Waipahu, HI",Top-40,HI,
5331,KDDD,95.3000000000001,"Dumas, TX",Classic Country,TX,
5332,KDDE,96.70000000000012,"American Falls, ID",Spanish Christian,ID,
5333,KDDG,105.50000000000024,"Albany, MN",Classic Country,MN,
5334,KDDK,105.50000000000024,"Addis, LA",Spanish Hits,LA,
5335,KDDL,94.30000000000008,"Chino Valley, AZ",Classic Country,AZ,
5336,KDDM,93.90000000000008,"Groveton, TX",Unknown Format,TX,
5337,KDDQ,105.30000000000024,"Comanche, OK",Classic Rock,OK,
5338,KDDS,99.30000000000015,"Elma, WA",Regional Mexican,WA,
5339,KDDV,101.50000000000018,"Wright, WY",Classic Rock,WY,
5340,KDDX,101.10000000000018,"Spearfish, SD",Rock,SD,
5341,KDEA,99.10000000000015,"Delta, CO",Weather,CO,
5342,KDEE,97.50000000000013,"Sacramento, CA",Urban Contemporary,CA,
5343,KDEL,100.90000000000018,"Arkadelphia, AR",Classic Rock,AR,
5344,KDEM,94.30000000000008,"Deming, NM",Hot AC,NM,
5345,KDEP,105.50000000000024,"Garibaldi, OR",Adult Contemporary,OR,
5346,KDER,99.30000000000015,"Comstock, TX",Religious,TX,
5347,KDES,98.50000000000014,"Cathedral City, CA",Country,CA,
5348,KDEW,97.30000000000013,"De Witt, AR",Country,AR,
5349,KDEX,102.3000000000002,"Dexter, MO",Country,MO,
5350,KDEY,93.50000000000007,"Ontario, CA",Classic Hip-Hop,CA,
5351,KDFC,90.30000000000003,"San Francisco, CA",Classical,CA,
5352,KDFG,103.90000000000022,"Seaside, CA",Classical,CA,
5353,KDFJ,105.90000000000025,"Fairbanks, AK",Religious,AK,
5354,KDFL,89.90000000000002,"Livermore, CA",Unknown Format,CA,
5355,KDFM,103.30000000000021,"Falfurrias, TX",Spanish Christian,TX,
5356,KDFO,98.50000000000014,"Delano, CA",Classic Rock,CA,
5357,KDFR,91.30000000000004,"Des Moines, IA",Religious,IA,
5358,KDGE,102.1000000000002,"Fort Worth-Dallas, TX",Adult Contemporary,TX,
5359,KDGL,106.90000000000026,"Yucca Valley, CA",Classic Hits,CA,
5360,KDGR,88.1,"Grand Rapids, MN",Unknown Format,MN,
5361,KDGS,93.50000000000007,"Andover, KS",Hip-Hop,KS,
5362,KDGW,96.50000000000011,"Grants Pass, OR",Christian Contemporary,OR,
5363,KDHH,89.50000000000001,"Kaibito, AZ",Unknown Format,AZ,
5364,KDHK,100.50000000000017,"Decorah, IA",Hot AC,IA,
5365,KDHP,91.90000000000005,"Pinon, AZ",Unknown Format,AZ,
5366,KDHS,95.5000000000001,"Delta Junction, AK",Grade School (K-12),AK,
5367,KDHT,95.7000000000001,"Denver, CO",Top-40,CO,
5368,KDHX,88.1,"Saint Louis, MO",Variety,MO,
5369,KDIF,102.9000000000002,"Phoenix, AZ",Variety,AZ,
5370,KDIL,105.70000000000024,"Kennewick, WA",Spanish Christian,WA,
5371,KDIP,98.90000000000015,"Marfa, TX",Variety,TX,
5372,KDIS,99.50000000000016,"Little Rock, AR",Religious,AR,
5373,KDIV,98.70000000000014,"Fayetteville, AR",Variety,AR,
5374,KDJA,94.90000000000009,"Terrebonne, OR",Religious,OR,
5375,KDJC,88.1,"Baker, OR",Religious,OR,
5376,KDJE,100.30000000000017,"Jacksonville, AR",Rock,AR,
5377,KDJF,93.50000000000007,"Ester, AK",Classic Country,AK,
5378,KDJJ,94.10000000000008,"Fernley, NV",Spanish Hits,NV,
5379,KDJK,103.90000000000022,"Mariposa, CA",Classic Rock,CA,
5380,KDJL,99.50000000000016,"Kilgore, NE",Country,NE,
5381,KDJR,100.10000000000016,"De Soto, MO",Religious,MO,
5382,KDJS,95.3000000000001,"Willmar, MN",Country,MN,
5383,KDJY,88.7,"Douglas, WY",Religious,WY,
5384,KDKA,93.70000000000007,"Pittsburgh, PA",Sports,PA,
5385,KDKB,93.30000000000007,"Mesa, AZ",Alternative,AZ,
5386,KDKD,95.3000000000001,"Clinton, MO",Country,MO,
5387,KDKE,102.5000000000002,"Superior, WI",Classic Country,WI,
5388,KDKI,103.90000000000022,"Twin Falls, ID",Nostalgia,ID,
5389,KDKK,97.50000000000013,"Park Rapids, MN",Nostalgia,MN,
5390,KDKL,103.70000000000022,"Okemah, OK",Christian Contemporary,OK,
5391,KDKN,106.70000000000026,"Ellington, MO",Classic Rock,MO,
5392,KDKO,89.50000000000001,"Lake Andes, SD",Native American,SD,
5393,KDKQ,105.90000000000025,"Derby, KS",Christian Contemporary,KS,
5394,KDKR,91.30000000000004,"Decatur, TX",Religious,TX,
5395,KDKS,102.1000000000002,"Blanchard, LA",Urban Contemporary,LA,
5396,KDKY,91.50000000000004,"Marathon, TX",Public Radio,TX,
5397,KDLA,98.30000000000014,"New Llano, LA",Variety,LA,
5398,KDLB,94.50000000000009,"Frazee, MN",Country,MN,
5399,KDLC,97.70000000000013,"Dulac, LA",Classic Rock,LA,
5400,KDLD,103.10000000000021,"Santa Monica, CA",Regional Mexican,CA,
5401,KDLE,103.10000000000021,"Newport Beach, CA",Regional Mexican,CA,
5402,KDLG,89.90000000000002,"Dillingham, AK",Public Radio,AK,
5403,KDLI,89.90000000000002,"Del Rio, TX",Religious,TX,
5404,KDLK,94.10000000000008,"Del Rio, TX",Country,TX,
5405,KDLL,91.90000000000005,"Kenai, AK",Public Radio,AK,
5406,KDLO,96.90000000000012,"Watertown, SD",Classic Country,SD,
5407,KDLS,105.50000000000024,"Perry, IA",Regional Mexican,IA,
5408,KDLY,97.50000000000013,"Lander, WY",Country,WY,
5409,KDLZ,101.50000000000018,"The Dalles, OR",Christian Contemporary,OR,
5410,KDMA,93.90000000000008,"Granite Falls, MN",Farm,MN,
5411,KDMB,88.7,"Moses Lake, WA",Religious,WA,
5412,KDMC,88.7,"Van Buren, MO",Public Radio,MO,
5413,KDME,98.30000000000014,"Fort Madison, IA",Religious,IA,
5414,KDMG,103.10000000000021,"Burlington, IA",Country,IA,
5415,KDMI,97.50000000000013,"Canton, TX",Religious,TX,
5416,KDMM,103.10000000000021,"Parker Strip, AZ",Top-40,AZ,
5417,KDMX,102.9000000000002,"Dallas, TX",Hot AC,TX,
5418,KDNA,91.90000000000005,"Yakima, WA",Spanish,WA,
5419,KDND,89.10000000000001,"Dickinson, ND",Religious,ND,
5420,KDNE,91.90000000000005,"Crete, NE",College,NE,
5421,KDNG,89.30000000000001,"Durango, CO",Public Radio,CO,
5422,KDNH,101.50000000000018,"Marshalltown, IA",Spanish Christian,IA,
5423,KDNI,90.50000000000003,"Duluth, MN",Religious,MN,
5424,KDNK,88.1,"Glenwood Springs, CO",Public Radio,CO,
5425,KDNN,98.50000000000014,"Honolulu, HI",Caribbean,HI,
5426,KDNO,101.70000000000019,"Thermopolis, WY",Classic Country,WY,
5427,KDNR,88.7,"South Greeley, WY",Christian Contemporary,WY,
5428,KDNS,94.10000000000008,"Downs, KS",Country,KS,
5429,KDNW,97.30000000000013,"Duluth, MN",Christian Contemporary,MN,
5430,KDNY,94.70000000000009,"Hope, AR",Spanish Christian,AR,
5431,KDNZ,97.30000000000013,"Pecos, TX",Classic Country,TX,
5432,KDOA,97.50000000000013,"Vancouver, WA",Caribbean,WA,
5433,KDOB,91.50000000000004,"Brookings, OR",Religious,OR,
5434,KDOC,103.90000000000022,"Eyota, MN",Classic Hits,MN,
5435,KDOE,102.3000000000002,"Antlers, OK",Adult Contemporary,OK,
5436,KDOG,96.70000000000012,"North Mankato, MN",Top-40,MN,
5437,KDOL,95.9000000000001,"Livingston, TX",Oldies,TX,
5438,KDOM,94.30000000000008,"Windom, MN",Country,MN,
5439,KDON,102.5000000000002,"Salinas, CA",Top-40,CA,
5440,KDOT,104.50000000000023,"Reno, NV",Rock,NV,
5441,KDOV,91.70000000000005,"Medford, OR",Religious,OR,
5442,KDOX,91.30000000000004,"Big Pine, CA",Christian Contemporary,CA,
5443,KDPI,88.5,"Ketchum, ID",Variety,ID,
5444,KDPM,92.30000000000005,"Marshall, TX",Country,TX,
5445,KDPO,91.90000000000005,"Port Orford, OR",Religious,OR,
5446,KDPR,89.90000000000002,"Dickinson, ND",Public Radio,ND,
5447,KDPS,88.1,"Des Moines, IA",College,IA,
5448,KDPT,102.9000000000002,"Dos Palos, CA",Oldies,CA,
5449,KDPX,101.30000000000018,"Pine Bluff, AR",Oldies,AR,
5450,KDQN,92.10000000000005,"De Queen, AR",Country,AR,
5451,KDRB,100.30000000000017,"Des Moines, IA",Adult Hits,IA,
5452,KDRD,91.50000000000004,"De Ridder, LA",Religious,LA,
5453,KDRF,103.30000000000021,"Albuquerque, NM",Adult Hits,NM,
5454,KDRG,91.90000000000005,"Deering, AK",Public Radio,AK,
5455,KDRH,91.30000000000004,"King City, CA",Spanish Christian,CA,
5456,KDRK,93.70000000000007,"Spokane, WA",Country,WA,
5457,KDRM,99.30000000000015,"Moses Lake, WA",Hot AC,WA,
5458,KDRP,103.10000000000021,"Dripping Springs, TX",Adult Album Alternative,TX,
5459,KDRS,107.10000000000026,"Paragould, AR",Adult Hits,AR,
5460,KDRT,95.7000000000001,"Davis, CA",Variety,CA,
5461,KDRU,98.10000000000014,"Springfield, MO",College,MO,
5462,KDRW,88.7,"Santa Barbara, CA",Public Radio,CA,
5463,KDRX,106.90000000000026,"Laughlin Afb, TX",Country,TX,
5464,KDSC,91.10000000000004,"Thousand Oaks, CA",Classical,CA,
5465,KDSD,90.90000000000003,"Pierpont, SD",Public Radio,SD,
5466,KDSK,92.70000000000006,"Grants, NM",Oldies,NM,
5467,KDSN,104.90000000000023,"Denison, IA",Classic Rock,IA,
5468,KDSP,99.90000000000016,"Spur, TX",Unknown Format,TX,
5469,KDSR,101.10000000000018,"Williston, ND",Adult Hits,ND,
5470,KDSS,92.70000000000006,"Ely, NV",Adult Hits,NV,
5471,KDST,99.30000000000015,"Dyersville, IA",Country,IA,
5472,KDSU,91.90000000000005,"Fargo, ND",Public Radio,ND,
5473,KDTI,90.30000000000003,"Rochester Hills, MI",Christian Contemporary,MI,
5474,KDTR,103.30000000000021,"Florence, MT",Adult Album Alternative,MT,
5475,KDUA,96.50000000000011,"Rogers, AR",Religious,AR,
5476,KDUB,99.90000000000016,"Watsonville, CA",Regional Mexican,CA,
5477,KDUC,94.30000000000008,"Barstow, CA",Top-40,CA,
5478,KDUK,104.70000000000023,"Florence, OR",Top-40,OR,
5479,KDUO,91.30000000000004,"Columbus, NM",Spanish,NM,
5480,KDUP,88.1,"Cedarville, CA",Variety,CA,
5481,KDUQ,102.5000000000002,"Ludlow, CA",Top-40,CA,
5482,KDUR,91.90000000000005,"Durango, CO",College,CO,
5483,KDUT,102.3000000000002,"Randolph, UT",Regional Mexican,UT,
5484,KDUV,88.9,"Visalia, CA",Christian Contemporary,CA,
5485,KDUW,91.70000000000005,"Douglas, WY",Public Radio,WY,
5486,KDUX,104.70000000000023,"Hoquiam, WA",Classic Rock,WA,
5487,KDVC,98.30000000000014,"Columbia, MO",Adult Contemporary,MO,
5488,KDVI,89.90000000000002,"Devils Lake, ND",Religious,ND,
5489,KDVL,102.5000000000002,"Devils Lake, ND",Classic Hits,ND,
5490,KDVM,89.30000000000001,"Mason City, IA",Unknown Format,IA,
5491,KDVP,99.90000000000016,"Denton, TX",Spanish Christian,TX,
5492,KDVS,90.30000000000003,"Davis, CA",College,CA,
5493,KDVV,100.30000000000017,"Topeka, KS",Rock,KS,
5494,KDVY,93.50000000000007,"Crockett, TX",Religious,TX,
5495,KDWB,101.30000000000018,"Richfield, MN",Top-40,MN,
5496,KDWD,99.10000000000015,"Marceline, MO",Country,MO,
5497,KDWG,90.90000000000003,"Dillon, MT",Public Radio,MT,
5498,KDWR,92.90000000000006,"Desert Ridge, AZ",Religious,AZ,
5499,KDWY,105.30000000000024,"Diamondville, WY",Country,WY,
5500,KDXA,91.30000000000004,"Glendale, OR",Variety,OR,
5501,KDXE,101.10000000000018,"Cammack Village, AR",Talk,AR,
5502,KDXN,105.70000000000024,"South Heart, ND",Adult Contemporary,ND,
5503,KDXT,97.90000000000013,"Lolo, MT",Country,MT,
5504,KDXU,106.10000000000025,"Colorado City, AZ",News/Talk,AZ,
5505,KDXX,107.90000000000028,"Lewisville, TX",Spanish Hits,TX,
5506,KDXY,104.90000000000023,"Lake City, AR",Country,AR,
5507,KDYN,92.70000000000006,"Coal Hill, AR",Country,AR,
5508,KDYR,90.90000000000003,"Dyer, NV",Country,NV,
5509,KDZN,96.50000000000011,"Glendive, MT",Country,MT,
5510,KDZY,98.30000000000014,"McCall, ID",Country,ID,
5511,KEAC,106.10000000000025,"Cardwell, MT",Travelers' Information,MT,
5512,KEAE,107.90000000000028,"Eagle, CO",Weather,CO,
5513,KEAG,97.30000000000013,"Anchorage, AK",Classic Hits,AK,
5514,KEAJ,100.30000000000017,"Cell Site, MT",Travelers' Information,MT,
5515,KEAL,106.50000000000026,"Taft, CA",Regional Mexican,CA,
5516,KEAN,105.10000000000024,"Abilene, TX",Country,TX,
5517,KEAU,104.70000000000023,"Elko, NV",Sports,NV,
5518,KEAZ,100.70000000000017,"Kensett, AR",Top-40,AR,
5519,KEBF,97.30000000000013,"Morro Bay, CA",Variety,CA,
5520,KEBL,105.50000000000024,"Sulphur, LA",Religious,LA,
5521,KEBN,94.30000000000008,"Garden Grove, CA",Regional Mexican,CA,
5522,KEBR,88.1,"Sacramento, CA",Religious,CA,
5523,KEBT,96.90000000000012,"Lost Hills, CA",Regional Mexican,CA,
5524,KECC,89.10000000000001,"La Junta, CO",Public Radio,CO,
5525,KECH,95.3000000000001,"Sun Valley, ID",Classic Rock,ID,
5526,KECO,96.50000000000011,"Elk City, OK",Country,OK,
5527,KECS,94.90000000000009,"Lafayette, LA",Spanish Christian,LA,
5528,KECV,91.30000000000004,"Madison, KS",Unknown Format,KS,
5529,KEDC,88.5,"Hearne, TX",Spanish Christian,TX,
5530,KEDG,106.90000000000026,"Alexandria, LA",Adult Contemporary,LA,
5531,KEDI,98.30000000000014,"Bethel, AK",News,AK,
5532,KEDJ,103.10000000000021,"Jerome, ID",Rock,ID,
5533,KEDM,90.30000000000003,"Monroe, LA",Public Radio,LA,
5534,KEDP,91.10000000000004,"Las Vegas, NM",Public Radio,NM,
5535,KEDR,91.10000000000004,"Glenhaven, CA",Unknown Format,CA,
5536,KEDT,90.30000000000003,"Corpus Christi, TX",Public Radio,TX,
5537,KEDU,102.3000000000002,"Ruidoso, NM",Variety,NM,
5538,KEDV,90.30000000000003,"Brackettville, TX",Spanish Christian,TX,
5539,KEEA,90.10000000000002,"Aberdeen, SD",Religious,SD,
5540,KEEH,104.90000000000023,"Spokane, WA",Christian Contemporary,WA,
5541,KEEP,103.10000000000021,"Bandera, TX",Country,TX,
5542,KEEY,102.1000000000002,"Saint Paul, MN",Country,MN,
5543,KEEZ,99.10000000000015,"Mankato, MN",Hot AC,MN,
5544,KEFA,102.9000000000002,"Wenatchee, WA",Religious,WA,
5545,KEFC,100.50000000000017,"Turlock, CA",Christian Contemporary,CA,
5546,KEFE,97.90000000000013,"Lakeville, MN",Spanish Christian,MN,
5547,KEFH,99.30000000000015,"Clarendon, TX",Classic Hits,TX,
5548,KEFL,91.50000000000004,"Kirksville, MO",Religious,MO,
5549,KEFR,89.90000000000002,"Le Grand, CA",Religious,CA,
5550,KEFS,89.50000000000001,"North Powder, OR",Christian Contemporary,OR,
5551,KEFW,102.5000000000002,"Fort Worth, TX",Spanish Christian,TX,
5552,KEFX,88.9,"Twin Falls, ID",Christian Contemporary,ID,
5553,KEGB,102.1000000000002,"Bend, OR",Religious,OR,
5554,KEGE,101.70000000000019,"Hamilton City, CA",Regional Mexican,CA,
5555,KEGH,107.10000000000026,"Woodruff, UT",Regional Mexican,UT,
5556,KEGI,100.50000000000017,"Trumann, AR",Classic Rock,AR,
5557,KEGK,106.90000000000026,"Wahpeton, ND",Classic Hits,ND,
5558,KEGL,97.10000000000012,"Fort Worth, TX",Rock,TX,
5559,KEGT,106.50000000000026,"San Miguel, CA",Regional Mexican,CA,
5560,KEGX,106.50000000000026,"Richland, WA",Classic Rock,WA,
5561,KEHH,92.30000000000005,"Livingston, TX",Christian Contemporary,TX,
5562,KEHK,102.3000000000002,"Brownsville, OR",Hot AC,OR,
5563,KEIT,100.70000000000017,"Colville, WA",Religious,WA,
5564,KEJA,91.70000000000005,"Cale, AR",Religious,AR,
5565,KEJC,104.10000000000022,"Dallas, TX",Spanish Christian,TX,
5566,KEJJ,98.30000000000014,"Gunnison, CO",Classic Hits,CO,
5567,KEJS,88.1,"Sargent, NE",Religious,NE,
5568,KEKA,101.50000000000018,"Eureka, CA",Classic Country,CA,
5569,KEKB,99.90000000000016,"Fruita, CO",Country,CO,
5570,KEKL,90.70000000000003,"Emporia, KS",Christian Contemporary,KS,
5571,KEKO,101.70000000000019,"Hebbronville, TX",Spanish Christian,TX,
5572,KEKS,103.10000000000021,"Olpe, KS",Top-40,KS,
5573,KELB,100.50000000000017,"Lake Charles, LA",Religious,LA,
5574,KELC,91.90000000000005,"Hawthorne, NV",Classic Hits,NV,
5575,KELD,106.50000000000026,"Hampton, AR",Hot AC,AR,
5576,KELI,98.70000000000014,"San Angelo, TX",Top-40,TX,
5577,KELN,97.10000000000012,"North Platte, NE",Top-40,NE,
5578,KELO,101.90000000000019,"Sioux Falls, SD",Adult Contemporary,SD,
5579,KELP,89.30000000000001,"Mesquite, NM",Religious,NM,
5580,KELQ,107.90000000000028,"Flandreau, SD",News/Talk,SD,
5581,KELR,104.70000000000023,"Stockton, CA",Religious,CA,
5582,KELS,104.70000000000023,"Greeley, CO",Nostalgia,CO,
5583,KELT,102.5000000000002,"Encinal, TX",Christian Contemporary,TX,
5584,KELU,90.30000000000003,"Clovis, NM",Christian Contemporary,NM,
5585,KEMA,94.50000000000009,"Three Rivers, TX",Country,TX,
5586,KEMC,91.70000000000005,"Billings, MT",Public Radio,MT,
5587,KEME,105.90000000000025,"Boulder, MT",Travelers' Information,MT,
5588,KEMJ,101.50000000000018,"Saint James, MN",Hot AC,MN,
5589,KEMP,99.30000000000015,"Payson, AZ",Classic Hip-Hop,AZ,
5590,KEMX,94.50000000000009,"Locust Grove, OK",Rock,OK,
5591,KENA,104.10000000000022,"Hatfield, AR",Country,AR,
5592,KENB,90.90000000000003,"Roswell, NM",Unknown Format,NM,
5593,KENC,90.70000000000003,"Estes Park, CO",Public Radio,CO,
5594,KEND,106.50000000000026,"Roswell, NM",Talk,NM,
5595,KENE,88.1,"Eagle Tail, NM",Public Radio,NM,
5596,KENG,88.5,"Ruidoso, NM",Public Radio,NM,
5597,KENJ,97.70000000000013,"Lowell, AR",Spanish Christian,AR,
5598,KENL,98.10000000000014,"Saint Paul, MN",Religious,MN,
5599,KENM,88.9,"Tucumcari, NM",Public Radio,NM,
5600,KENP,88.1,"Las Vegas, NM",Public Radio,NM,
5601,KENR,107.50000000000027,"Superior, MT",Top-40,MT,
5602,KENU,88.5,"Des Moines, NM",Public Radio,NM,
5603,KENW,89.50000000000001,"Portales, NM",Public Radio,NM,
5604,KENY,90.50000000000003,"Wagon Mound, NM",Unknown Format,NM,
5605,KENZ,94.90000000000009,"Provo, UT",Top-40,UT,
5606,KEOJ,101.10000000000018,"Caney, KS",Sports,KS,
5607,KEOK,102.1000000000002,"Tahlequah, OK",Country,OK,
5608,KEOM,88.5,"Mesquite, TX",Classic Hits,TX,
5609,KEON,94.90000000000009,"Ganado, TX",Americana,TX,
5610,KEOP,90.70000000000003,"Little Browning, MT",Public Radio,MT,
5611,KEOS,89.10000000000001,"College Station, TX",Variety,TX,
5612,KEPC,89.70000000000002,"Colorado Springs, CO",Adult Album Alternative,CO,
5613,KEPD,104.90000000000023,"Ridgecrest, CA",Spanish,CA,
5614,KEPH,95.3000000000001,"Friendswood, TX",Religious,TX,
5615,KEPI,88.7,"Eagle Pass, TX",Spanish Christian,TX,
5616,KEPJ,96.50000000000011,"San Antonio, TX",Variety,TX,
5617,KEPP,95.1000000000001,"Epps, LA",Variety,LA,
5618,KEPS,95.9000000000001,"Skyline-Ganipa, NM",Unknown Format,NM,
5619,KEPT,96.90000000000012,"Hayward, CA",Religious,CA,
5620,KEPW,97.30000000000013,"Eugene, OR",Variety,OR,
5621,KEPX,89.50000000000001,"Eagle Pass, TX",Spanish Christian,TX,
5622,KEQB,97.70000000000013,"Coburg, OR",Regional Mexican,OR,
5623,KEQQ,88.3,"Grand Forks, ND",Religious,ND,
5624,KEQX,89.50000000000001,"Stephenville, TX",Classic Country,TX,
5625,KERA,90.10000000000002,"Dallas, TX",Public Radio,TX,
5626,KERC,95.3000000000001,"Kermit, TX",Spanish Christian,TX,
5627,KERG,104.70000000000023,"Escobares, TX",Spanish Christian,TX,
5628,KERL,103.90000000000022,"Earle, AR",Classic Rock,AR,
5629,KERM,98.30000000000014,"Torrington, WY",Country,WY,
5630,KERP,96.30000000000011,"Ingalls, KS",Country,KS,
5631,KERU,88.5,"Blythe, CA",Spanish,CA,
5632,KERW,101.30000000000018,"Los Osos-Baywood Par, CA",Public Radio,CA,
5633,KERX,95.3000000000001,"Paris, AR",Adult Hits,AR,
5634,KESA,100.90000000000018,"Eureka Springs, AR",Adult Contemporary,AR,
5635,KESC,99.70000000000016,"Morro Bay, CA",Classical,CA,
5636,KESD,88.3,"Brookings, SD",Public Radio,SD,
5637,KESM,105.50000000000024,"El Dorado Springs, MO",Country,MO,
5638,KESO,92.70000000000006,"South Padre Island, TX",Spanish Christian,TX,
5639,KESR,107.10000000000026,"Shasta Lake City, CA",Adult Hits,CA,
5640,KESS,107.10000000000026,"Benbrook, TX",Spanish Hits,TX,
5641,KESU,94.90000000000009,"Lihue, HI",Religious,HI,
5642,KESW,106.50000000000026,"Whitehall, MT",Travelers' Information,MT,
5643,KESY,91.90000000000005,"Baker City, OR",Christian Contemporary,OR,
5644,KESZ,99.90000000000016,"Phoenix, AZ",Adult Contemporary,AZ,
5645,KETE,99.70000000000016,"Sulphur Bluff, TX",Religious,TX,
5646,KETI,95.7000000000001,"Choteau, MT",Religious,MT,
5647,KETL,100.50000000000017,"Republic, WA",Religious,WA,
5648,KETN,90.10000000000002,"Eatonville, WA",Unknown Format,WA,
5649,KETO,93.90000000000008,"Aurora, CO",Multinational,CO,
5650,KETP,88.7,"Enterprise, OR",Public Radio,OR,
5651,KETQ,93.30000000000007,"Yuba City, CA",Hot AC,CA,
5652,KETR,88.9,"Commerce, TX",Public Radio,TX,
5653,KETT,99.50000000000016,"Mitchell, NE",Religious,NE,
5654,KETW,90.50000000000003,"Ogallala, NE",Religious,NE,
5655,KEUB,93.30000000000007,"Gearhart, OR",Rock,OR,
5656,KEUC,104.90000000000023,"Ringwood, OK",Religious,OK,
5657,KEUG,105.50000000000024,"Veneta, OR",Adult Hits,OR,
5658,KEUK,89.70000000000002,"Eureka, MT",Public Radio,MT,
5659,KEUL,88.9,"Girdwood, AK",Variety,AK,
5660,KEUN,105.50000000000024,"Eunice, LA",Country,LA,
5661,KEUR,88.3,"Eureka, MT",Religious,MT,
5662,KEUW,89.90000000000002,"Torrington, WY",Public Radio,WY,
5663,KEVK,105.10000000000024,"Sanderson, TX",Unknown Format,TX,
5664,KEVM,107.30000000000027,"Junction, TX",Unknown Format,TX,
5665,KEVQ,100.70000000000017,"Crosbyton, TX",Unknown Format,TX,
5666,KEWB,94.70000000000009,"Anderson, CA",Top-40,CA,
5667,KEWF,98.50000000000014,"Billings, MT",Country,MT,
5668,KEWL,95.1000000000001,"New Boston, TX",Alternative,TX,
5669,KEWP,103.50000000000021,"Uvalde Estates, TX",Regional Mexican,TX,
5670,KEWR,89.90000000000002,"Cedar Rapids, IA",Religious,IA,
5671,KEWT,99.10000000000015,"Weslaco, TX",Spanish Christian,TX,
5672,KEWU,89.50000000000001,"Cheney, WA",Jazz,WA,
5673,KEWY,89.70000000000002,"Fort Washakie, WY",Unknown Format,WY,
5674,KEWZ,95.3000000000001,"West Monroe, LA",Oldies,LA,
5675,KEXA,93.90000000000008,"King City, CA",Spanish Christian,CA,
5676,KEXC,92.70000000000006,"Alameda, CA",Alternative,CA,
5677,KEXL,97.50000000000013,"Pierce, NE",Adult Contemporary,NE,
5678,KEXP,90.30000000000003,"Seattle, WA",Alternative,WA,
5679,KEXS,106.10000000000025,"Ravenwood, MO",Religious,MO,
5680,KEXU,96.10000000000011,"Oakland, CA",Variety,CA,
5681,KEYA,88.5,"Belcourt, ND",Native American,ND,
5682,KEYE,93.70000000000007,"Perryton, TX",Adult Contemporary,TX,
5683,KEYF,101.10000000000018,"Cheney, WA",Classic Hits,WA,
5684,KEYJ,107.90000000000028,"Abilene, TX",Rock,TX,
5685,KEYK,89.30000000000001,"Osage Beach, MO",Religious,MO,
5686,KEYN,103.70000000000022,"Wichita, KS",Classic Hits,KS,
5687,KEYP,91.90000000000005,"Price, UT",Religious,UT,
5688,KEYR,91.70000000000005,"Richfield, UT",Religious,UT,
5689,KEYV,91.70000000000005,"Vernal, UT",Religious,UT,
5690,KEYW,98.30000000000014,"Pasco, WA",Hot AC,WA,
5691,KEZA,107.90000000000028,"Fayetteville, AR",Adult Contemporary,AR,
5692,KEZB,90.70000000000003,"Beaver, UT",Religious,UT,
5693,KEZE,96.90000000000012,"Spokane, WA",Top-40,WA,
5694,KEZF,91.10000000000004,"Grants, NM",Variety,NM,
5695,KEZJ,95.7000000000001,"Twin Falls, ID",Country,ID,
5696,KEZK,102.5000000000002,"Saint Louis, MO",Adult Contemporary,MO,
5697,KEZL,89.70000000000002,"Culbertson, NE",Variety,NE,
5698,KEZO,92.30000000000005,"Omaha, NE",Rock,NE,
5699,KEZP,104.30000000000022,"Bunkie, LA",Christian Contemporary,LA,
5700,KEZQ,92.90000000000006,"West Yellowstone, MT",Oldies,MT,
5701,KEZR,106.50000000000026,"San Jose, CA",Hot AC,CA,
5702,KEZS,102.9000000000002,"Cape Girardeau, MO",Country,MO,
5703,KEZZ,94.10000000000008,"Phippsburg, CO",Adult Contemporary,CO,
5704,KFAA,89.50000000000001,"Horace, ND",Christian Contemporary,ND,
